step,x,y,goal_x,goal_y
1,0.001,0.001,15.800,15.100
2,0.004,0.004,15.800,15.100
3,0.008,0.007,15.800,15.100
4,0.013,0.012,15.800,15.100
5,0.019,0.018,15.800,15.100
6,0.026,0.025,15.800,15.100
7,0.035,0.034,15.800,15.100
8,0.045,0.043,15.800,15.100
9,0.056,0.054,15.800,15.100
10,0.069,0.066,15.800,15.100
11,0.083,0.079,15.800,15.100
12,0.097,0.093,15.800,15.100
13,0.111,0.106,15.800,15.100
14,0.126,0.120,15.800,15.100
15,0.140,0.134,15.800,15.100
16,0.154,0.148,15.800,15.100
17,0.169,0.161,15.800,15.100
18,0.183,0.175,15.800,15.100
19,0.198,0.189,15.800,15.100
20,0.212,0.202,15.800,15.100
21,0.226,0.216,15.800,15.100
22,0.241,0.230,15.800,15.100
23,0.255,0.244,15.800,15.100
24,0.269,0.257,15.800,15.100
25,0.284,0.271,15.800,15.100
26,0.298,0.285,15.800,15.100
27,0.312,0.299,15.800,15.100
28,0.327,0.312,15.800,15.100
29,0.341,0.326,15.800,15.100
30,0.355,0.340,15.800,15.100
31,0.369,0.353,15.800,15.100
32,0.382,0.366,15.800,15.100
33,0.394,0.378,15.800,15.100
34,0.405,0.391,15.800,15.100
35,0.418,0.403,15.800,15.100
36,0.432,0.416,15.800,15.100
37,0.447,0.429,15.800,15.100
38,0.461,0.442,15.800,15.100
39,0.475,0.455,15.800,15.100
40,0.489,0.467,15.800,15.100
41,0.501,0.478,15.800,15.100
42,0.513,0.489,15.800,15.100
43,0.527,0.498,15.800,15.100
44,0.536,0.509,15.800,15.100
45,0.548,0.521,15.800,15.100
46,0.562,0.535,15.800,15.100
47,0.577,0.548,15.800,15.100
48,0.590,0.562,15.800,15.100
49,0.604,0.577,15.800,15.100
50,0.618,0.591,15.800,15.100
51,0.632,0.605,15.800,15.100
52,0.645,0.619,15.800,15.100
53,0.659,0.634,15.800,15.100
54,0.673,0.648,15.800,15.100
55,0.687,0.662,15.800,15.100
56,0.701,0.676,15.800,15.100
57,0.715,0.691,15.800,15.100
58,0.728,0.705,15.800,15.100
59,0.742,0.719,15.800,15.100
60,0.756,0.733,15.800,15.100
61,0.770,0.748,15.800,15.100
62,0.784,0.762,15.800,15.100
63,0.797,0.776,15.800,15.100
64,0.811,0.791,15.800,15.100
65,0.825,0.805,15.800,15.100
66,0.839,0.819,15.800,15.100
67,0.853,0.833,15.800,15.100
68,0.867,0.848,15.800,15.100
69,0.880,0.862,15.800,15.100
70,0.894,0.876,15.800,15.100
71,0.908,0.890,15.800,15.100
