step,x,y,goal_x,goal_y
1,-37.600,-21.100,21.200,12.700
2,-37.597,-21.098,21.200,12.700
3,-37.592,-21.095,21.200,12.700
4,-37.587,-21.092,21.200,12.700
5,-37.579,-21.087,21.200,12.700
6,-37.570,-21.082,21.200,12.700
7,-37.560,-21.076,21.200,12.700
8,-37.548,-21.069,21.200,12.700
9,-37.534,-21.061,21.200,12.700
10,-37.519,-21.053,21.200,12.700
11,-37.503,-21.043,21.200,12.700
12,-37.485,-21.033,21.200,12.700
13,-37.468,-21.023,21.200,12.700
14,-37.451,-21.013,21.200,12.700
15,-37.434,-21.003,21.200,12.700
16,-37.416,-20.994,21.200,12.700
17,-37.399,-20.984,21.200,12.700
18,-37.382,-20.974,21.200,12.700
19,-37.365,-20.964,21.200,12.700
20,-37.348,-20.954,21.200,12.700
21,-37.330,-20.944,21.200,12.700
22,-37.313,-20.934,21.200,12.700
23,-37.296,-20.924,21.200,12.700
24,-37.279,-20.914,21.200,12.700
25,-37.262,-20.904,21.200,12.700
26,-37.244,-20.895,21.200,12.700
27,-37.227,-20.885,21.200,12.700
28,-37.210,-20.875,21.200,12.700
29,-37.193,-20.865,21.200,12.700
30,-37.175,-20.855,21.200,12.700
31,-37.158,-20.845,21.200,12.700
32,-37.141,-20.835,21.200,12.700
33,-37.124,-20.825,21.200,12.700
34,-37.107,-20.815,21.200,12.700
35,-37.089,-20.805,21.200,12.700
36,-37.072,-20.795,21.200,12.700
37,-37.055,-20.786,21.200,12.700
38,-37.038,-20.776,21.200,12.700
39,-37.021,-20.766,21.200,12.700
40,-37.003,-20.756,21.200,12.700
41,-36.986,-20.746,21.200,12.700
42,-36.969,-20.736,21.200,12.700
43,-36.952,-20.726,21.200,12.700
44,-36.935,-20.716,21.200,12.700
45,-36.917,-20.706,21.200,12.700
46,-36.900,-20.696,21.200,12.700
47,-36.883,-20.687,21.200,12.700
48,-36.866,-20.677,21.200,12.700
49,-36.849,-20.667,21.200,12.700
50,-36.831,-20.657,21.200,12.700
51,-36.814,-20.647,21.200,12.700
52,-36.797,-20.637,21.200,12.700
53,-36.780,-20.627,21.200,12.700
54,-36.762,-20.617,21.200,12.700
55,-36.745,-20.607,21.200,12.700
56,-36.728,-20.597,21.200,12.700
57,-36.711,-20.587,21.200,12.700
58,-36.694,-20.578,21.200,12.700
59,-36.676,-20.568,21.200,12.700
60,-36.659,-20.558,21.200,12.700
61,-36.642,-20.548,21.200,12.700
62,-36.625,-20.538,21.200,12.700
63,-36.608,-20.528,21.200,12.700
64,-36.590,-20.518,21.200,12.700
65,-36.573,-20.508,21.200,12.700
66,-36.556,-20.498,21.200,12.700
67,-36.539,-20.488,21.200,12.700
68,-36.522,-20.478,21.200,12.700
69,-36.504,-20.469,21.200,12.700
70,-36.487,-20.459,21.200,12.700
71,-36.470,-20.449,21.200,12.700
72,-36.453,-20.439,21.200,12.700
73,-36.436,-20.429,21.200,12.700
74,-36.418,-20.419,21.200,12.700
75,-36.401,-20.409,21.200,12.700
76,-36.384,-20.399,21.200,12.700
77,-36.367,-20.389,21.200,12.700
78,-36.350,-20.379,21.200,12.700
79,-36.332,-20.369,21.200,12.700
80,-36.315,-20.360,21.200,12.700
81,-36.298,-20.350,21.200,12.700
82,-36.281,-20.340,21.200,12.700
83,-36.263,-20.330,21.200,12.700
84,-36.246,-20.320,21.200,12.700
85,-36.229,-20.310,21.200,12.700
86,-36.212,-20.300,21.200,12.700
87,-36.195,-20.290,21.200,12.700
88,-36.177,-20.280,21.200,12.700
89,-36.160,-20.270,21.200,12.700
90,-36.143,-20.260,21.200,12.700
91,-36.126,-20.251,21.200,12.700
92,-36.109,-20.241,21.200,12.700
93,-36.091,-20.231,21.200,12.700
94,-36.074,-20.221,21.200,12.700
95,-36.057,-20.211,21.200,12.700
96,-36.040,-20.201,21.200,12.700
97,-36.023,-20.191,21.200,12.700
98,-36.005,-20.181,21.200,12.700
99,-35.988,-20.171,21.200,12.700
100,-35.971,-20.161,21.200,12.700
101,-35.954,-20.151,21.200,12.700
102,-35.937,-20.142,21.200,12.700
103,-35.919,-20.132,21.200,12.700
104,-35.902,-20.122,21.200,12.700
105,-35.885,-20.112,21.200,12.700
106,-35.868,-20.102,21.200,12.700
107,-35.850,-20.092,21.200,12.700
108,-35.833,-20.082,21.200,12.700
109,-35.818,-20.073,21.200,12.700
110,-35.803,-20.065,21.200,12.700
111,-35.791,-20.057,21.200,12.700
112,-35.780,-20.050,21.200,12.700
113,-35.770,-20.044,21.200,12.700
114,-35.762,-20.039,21.200,12.700
115,-35.756,-20.034,21.200,12.700
116,-35.751,-20.031,21.200,12.700
117,-35.747,-20.028,21.200,12.700
118,-35.745,-20.027,21.200,12.700
119,-35.744,-20.026,21.200,12.700
120,-35.744,-20.026,21.200,12.700
121,-35.745,-20.026,21.200,12.700
122,-35.745,-20.026,21.200,12.700
123,-35.745,-20.026,21.200,12.700
124,-35.745,-20.026,21.200,12.700
125,-35.745,-20.026,21.200,12.700
126,-35.745,-20.026,21.200,12.700
127,-35.745,-20.026,21.200,12.700
128,-35.745,-20.026,21.200,12.700
129,-35.744,-20.024,21.200,12.700
130,-35.744,-20.024,21.200,12.700
131,-35.744,-20.024,21.200,12.700
132,-35.744,-20.024,21.200,12.700
133,-35.744,-20.024,21.200,12.700
134,-35.744,-20.024,21.200,12.700
135,-35.745,-20.024,21.200,12.700
136,-35.745,-20.024,21.200,12.700
137,-35.746,-20.024,21.200,12.700
138,-35.746,-20.024,21.200,12.700
139,-35.746,-20.024,21.200,12.700
140,-35.746,-20.024,21.200,12.700
141,-35.746,-20.024,21.200,12.700
142,-35.746,-20.024,21.200,12.700
143,-35.747,-20.024,21.200,12.700
144,-35.747,-20.024,21.200,12.700
145,-35.748,-20.024,21.200,12.700
146,-35.748,-20.024,21.200,12.700
147,-35.749,-20.024,21.200,12.700
148,-35.749,-20.024,21.200,12.700
149,-35.750,-20.024,21.200,12.700
150,-35.750,-20.024,21.200,12.700
151,-35.751,-20.024,21.200,12.700
152,-35.751,-20.024,21.200,12.700
153,-35.750,-20.023,21.200,12.700
154,-35.750,-20.023,21.200,12.700
155,-35.750,-20.022,21.200,12.700
