step,x,y,goal_x,goal_y
1,-0.277,-18.209,-26.833,-30.672
2,-0.280,-18.211,-26.833,-30.672
3,-0.284,-18.214,-26.833,-30.672
4,-0.290,-18.218,-26.833,-30.672
5,-0.297,-18.223,-26.833,-30.672
6,-0.306,-18.229,-26.833,-30.672
7,-0.316,-18.235,-26.833,-30.672
8,-0.327,-18.243,-26.833,-30.672
9,-0.340,-18.252,-26.833,-30.672
10,-0.354,-18.262,-26.833,-30.672
11,-0.370,-18.273,-26.833,-30.672
12,-0.386,-18.284,-26.833,-30.672
13,-0.403,-18.295,-26.833,-30.672
14,-0.419,-18.307,-26.833,-30.672
15,-0.435,-18.318,-26.833,-30.672
16,-0.452,-18.329,-26.833,-30.672
17,-0.468,-18.341,-26.833,-30.672
18,-0.484,-18.352,-26.833,-30.672
19,-0.501,-18.363,-26.833,-30.672
20,-0.517,-18.374,-26.833,-30.672
21,-0.533,-18.386,-26.833,-30.672
22,-0.550,-18.397,-26.833,-30.672
23,-0.566,-18.408,-26.833,-30.672
24,-0.581,-18.419,-26.833,-30.672
25,-0.594,-18.428,-26.833,-30.672
26,-0.609,-18.439,-26.833,-30.672
27,-0.622,-18.448,-26.833,-30.672
28,-0.635,-18.458,-26.833,-30.672
29,-0.649,-18.468,-26.833,-30.672
30,-0.665,-18.480,-26.833,-30.672
31,-0.681,-18.492,-26.833,-30.672
32,-0.697,-18.503,-26.833,-30.672
33,-0.713,-18.515,-26.833,-30.672
34,-0.729,-18.527,-26.833,-30.672
35,-0.745,-18.539,-26.833,-30.672
36,-0.761,-18.551,-26.833,-30.672
37,-0.777,-18.562,-26.833,-30.672
38,-0.793,-18.574,-26.833,-30.672
39,-0.809,-18.586,-26.833,-30.672
40,-0.825,-18.598,-26.833,-30.672
41,-0.841,-18.610,-26.833,-30.672
42,-0.856,-18.620,-26.833,-30.672
43,-0.871,-18.632,-26.833,-30.672
44,-0.886,-18.643,-26.833,-30.672
45,-0.902,-18.655,-26.833,-30.672
46,-0.917,-18.666,-26.833,-30.672
47,-0.933,-18.678,-26.833,-30.672
48,-0.948,-18.688,-26.833,-30.672
49,-0.962,-18.698,-26.833,-30.672
50,-0.976,-18.709,-26.833,-30.672
51,-0.989,-18.719,-26.833,-30.672
52,-1.002,-18.728,-26.833,-30.672
53,-1.015,-18.738,-26.833,-30.672
54,-1.028,-18.749,-26.833,-30.672
55,-1.042,-18.761,-26.833,-30.672
56,-1.056,-18.773,-26.833,-30.672
57,-1.070,-18.784,-26.833,-30.672
58,-1.084,-18.795,-26.833,-30.672
59,-1.099,-18.808,-26.833,-30.672
60,-1.114,-18.820,-26.833,-30.672
61,-1.129,-18.833,-26.833,-30.672
62,-1.144,-18.846,-26.833,-30.672
63,-1.159,-18.859,-26.833,-30.672
64,-1.174,-18.872,-26.833,-30.672
65,-1.190,-18.885,-26.833,-30.672
66,-1.205,-18.898,-26.833,-30.672
67,-1.220,-18.911,-26.833,-30.672
68,-1.235,-18.924,-26.833,-30.672
69,-1.250,-18.937,-26.833,-30.672
70,-1.265,-18.950,-26.833,-30.672
71,-1.280,-18.963,-26.833,-30.672
72,-1.295,-18.976,-26.833,-30.672
73,-1.310,-18.989,-26.833,-30.672
74,-1.325,-19.001,-26.833,-30.672
75,-1.340,-19.014,-26.833,-30.672
76,-1.355,-19.027,-26.833,-30.672
77,-1.370,-19.040,-26.833,-30.672
78,-1.385,-19.053,-26.833,-30.672
79,-1.400,-19.066,-26.833,-30.672
80,-1.416,-19.079,-26.833,-30.672
81,-1.431,-19.092,-26.833,-30.672
82,-1.446,-19.105,-26.833,-30.672
83,-1.461,-19.118,-26.833,-30.672
84,-1.476,-19.131,-26.833,-30.672
85,-1.491,-19.144,-26.833,-30.672
86,-1.506,-19.157,-26.833,-30.672
87,-1.521,-19.169,-26.833,-30.672
88,-1.536,-19.182,-26.833,-30.672
89,-1.551,-19.195,-26.833,-30.672
90,-1.566,-19.208,-26.833,-30.672
91,-1.581,-19.221,-26.833,-30.672
92,-1.596,-19.234,-26.833,-30.672
93,-1.611,-19.247,-26.833,-30.672
94,-1.627,-19.260,-26.833,-30.672
95,-1.642,-19.273,-26.833,-30.672
96,-1.657,-19.286,-26.833,-30.672
97,-1.672,-19.299,-26.833,-30.672
98,-1.687,-19.312,-26.833,-30.672
99,-1.702,-19.325,-26.833,-30.672
100,-1.717,-19.337,-26.833,-30.672
101,-1.732,-19.350,-26.833,-30.672
102,-1.747,-19.363,-26.833,-30.672
103,-1.762,-19.376,-26.833,-30.672
104,-1.777,-19.389,-26.833,-30.672
105,-1.792,-19.402,-26.833,-30.672
106,-1.807,-19.415,-26.833,-30.672
107,-1.822,-19.428,-26.833,-30.672
108,-1.837,-19.441,-26.833,-30.672
109,-1.853,-19.454,-26.833,-30.672
110,-1.868,-19.467,-26.833,-30.672
111,-1.883,-19.480,-26.833,-30.672
112,-1.898,-19.493,-26.833,-30.672
113,-1.913,-19.506,-26.833,-30.672
114,-1.928,-19.518,-26.833,-30.672
115,-1.943,-19.531,-26.833,-30.672
116,-1.958,-19.544,-26.833,-30.672
117,-1.973,-19.557,-26.833,-30.672
118,-1.988,-19.570,-26.833,-30.672
119,-2.003,-19.583,-26.833,-30.672
120,-2.018,-19.596,-26.833,-30.672
121,-2.033,-19.609,-26.833,-30.672
122,-2.048,-19.622,-26.833,-30.672
123,-2.063,-19.635,-26.833,-30.672
124,-2.079,-19.648,-26.833,-30.672
125,-2.094,-19.661,-26.833,-30.672
126,-2.109,-19.674,-26.833,-30.672
127,-2.124,-19.686,-26.833,-30.672
128,-2.139,-19.699,-26.833,-30.672
129,-2.154,-19.712,-26.833,-30.672
130,-2.169,-19.725,-26.833,-30.672
131,-2.184,-19.738,-26.833,-30.672
132,-2.199,-19.751,-26.833,-30.672
133,-2.214,-19.764,-26.833,-30.672
134,-2.229,-19.777,-26.833,-30.672
135,-2.244,-19.790,-26.833,-30.672
136,-2.259,-19.803,-26.833,-30.672
137,-2.274,-19.816,-26.833,-30.672
138,-2.289,-19.829,-26.833,-30.672
139,-2.304,-19.842,-26.833,-30.672
140,-2.320,-19.855,-26.833,-30.672
141,-2.335,-19.867,-26.833,-30.672
142,-2.350,-19.880,-26.833,-30.672
143,-2.365,-19.893,-26.833,-30.672
144,-2.380,-19.906,-26.833,-30.672
145,-2.395,-19.919,-26.833,-30.672
146,-2.410,-19.932,-26.833,-30.672
147,-2.425,-19.945,-26.833,-30.672
148,-2.440,-19.958,-26.833,-30.672
149,-2.455,-19.971,-26.833,-30.672
150,-2.470,-19.984,-26.833,-30.672
151,-2.485,-19.997,-26.833,-30.672
152,-2.500,-20.010,-26.833,-30.672
153,-2.515,-20.023,-26.833,-30.672
154,-2.530,-20.036,-26.833,-30.672
155,-2.546,-20.048,-26.833,-30.672
156,-2.561,-20.061,-26.833,-30.672
157,-2.576,-20.074,-26.833,-30.672
158,-2.591,-20.087,-26.833,-30.672
159,-2.606,-20.100,-26.833,-30.672
160,-2.621,-20.113,-26.833,-30.672
161,-2.636,-20.126,-26.833,-30.672
162,-2.651,-20.139,-26.833,-30.672
163,-2.666,-20.152,-26.833,-30.672
164,-2.681,-20.165,-26.833,-30.672
165,-2.696,-20.178,-26.833,-30.672
166,-2.711,-20.191,-26.833,-30.672
167,-2.726,-20.204,-26.833,-30.672
168,-2.741,-20.216,-26.833,-30.672
169,-2.756,-20.229,-26.833,-30.672
170,-2.770,-20.241,-26.833,-30.672
171,-2.783,-20.252,-26.833,-30.672
172,-2.795,-20.262,-26.833,-30.672
173,-2.807,-20.273,-26.833,-30.672
174,-2.819,-20.283,-26.833,-30.672
175,-2.832,-20.294,-26.833,-30.672
176,-2.845,-20.306,-26.833,-30.672
177,-2.857,-20.317,-26.833,-30.672
178,-2.869,-20.328,-26.833,-30.672
179,-2.881,-20.341,-26.833,-30.672
180,-2.893,-20.354,-26.833,-30.672
181,-2.905,-20.369,-26.833,-30.672
182,-2.917,-20.382,-26.833,-30.672
183,-2.929,-20.394,-26.833,-30.672
184,-2.940,-20.405,-26.833,-30.672
185,-2.952,-20.418,-26.833,-30.672
186,-2.963,-20.432,-26.833,-30.672
187,-2.974,-20.447,-26.833,-30.672
188,-2.986,-20.463,-26.833,-30.672
189,-2.997,-20.478,-26.833,-30.672
190,-3.009,-20.494,-26.833,-30.672
191,-3.021,-20.510,-26.833,-30.672
192,-3.034,-20.525,-26.833,-30.672
193,-3.046,-20.541,-26.833,-30.672
194,-3.058,-20.556,-26.833,-30.672
195,-3.070,-20.572,-26.833,-30.672
196,-3.083,-20.588,-26.833,-30.672
197,-3.095,-20.603,-26.833,-30.672
198,-3.107,-20.619,-26.833,-30.672
199,-3.118,-20.633,-26.833,-30.672
200,-3.128,-20.646,-26.833,-30.672
201,-3.139,-20.661,-26.833,-30.672
202,-3.149,-20.674,-26.833,-30.672
203,-3.158,-20.685,-26.833,-30.672
204,-3.168,-20.699,-26.833,-30.672
205,-3.176,-20.710,-26.833,-30.672
206,-3.186,-20.724,-26.833,-30.672
207,-3.195,-20.736,-26.833,-30.672
208,-3.204,-20.749,-26.833,-30.672
209,-3.215,-20.764,-26.833,-30.672
210,-3.226,-20.780,-26.833,-30.672
211,-3.237,-20.796,-26.833,-30.672
212,-3.249,-20.812,-26.833,-30.672
213,-3.260,-20.829,-26.833,-30.672
214,-3.272,-20.845,-26.833,-30.672
215,-3.283,-20.861,-26.833,-30.672
216,-3.294,-20.877,-26.833,-30.672
217,-3.306,-20.894,-26.833,-30.672
218,-3.317,-20.910,-26.833,-30.672
219,-3.329,-20.926,-26.833,-30.672
220,-3.340,-20.942,-26.833,-30.672
221,-3.351,-20.958,-26.833,-30.672
222,-3.363,-20.975,-26.833,-30.672
223,-3.374,-20.991,-26.833,-30.672
224,-3.385,-21.006,-26.833,-30.672
225,-3.396,-21.022,-26.833,-30.672
226,-3.408,-21.038,-26.833,-30.672
227,-3.419,-21.055,-26.833,-30.672
228,-3.431,-21.071,-26.833,-30.672
229,-3.442,-21.087,-26.833,-30.672
230,-3.453,-21.103,-26.833,-30.672
231,-3.465,-21.119,-26.833,-30.672
232,-3.476,-21.135,-26.833,-30.672
233,-3.488,-21.152,-26.833,-30.672
234,-3.499,-21.168,-26.833,-30.672
235,-3.510,-21.183,-26.833,-30.672
236,-3.520,-21.196,-26.833,-30.672
237,-3.529,-21.209,-26.833,-30.672
238,-3.539,-21.222,-26.833,-30.672
239,-3.548,-21.235,-26.833,-30.672
240,-3.558,-21.248,-26.833,-30.672
241,-3.568,-21.261,-26.833,-30.672
242,-3.578,-21.274,-26.833,-30.672
243,-3.589,-21.287,-26.833,-30.672
244,-3.600,-21.300,-26.833,-30.672
245,-3.611,-21.312,-26.833,-30.672
246,-3.622,-21.324,-26.833,-30.672
247,-3.633,-21.336,-26.833,-30.672
248,-3.646,-21.348,-26.833,-30.672
249,-3.660,-21.361,-26.833,-30.672
250,-3.675,-21.374,-26.833,-30.672
251,-3.690,-21.387,-26.833,-30.672
252,-3.705,-21.400,-26.833,-30.672
253,-3.720,-21.413,-26.833,-30.672
254,-3.735,-21.426,-26.833,-30.672
255,-3.750,-21.439,-26.833,-30.672
256,-3.765,-21.452,-26.833,-30.672
257,-3.780,-21.464,-26.833,-30.672
258,-3.795,-21.477,-26.833,-30.672
259,-3.810,-21.490,-26.833,-30.672
260,-3.825,-21.503,-26.833,-30.672
261,-3.840,-21.516,-26.833,-30.672
262,-3.855,-21.529,-26.833,-30.672
263,-3.871,-21.542,-26.833,-30.672
264,-3.886,-21.555,-26.833,-30.672
265,-3.901,-21.568,-26.833,-30.672
266,-3.916,-21.580,-26.833,-30.672
267,-3.931,-21.593,-26.833,-30.672
268,-3.946,-21.606,-26.833,-30.672
269,-3.961,-21.619,-26.833,-30.672
270,-3.976,-21.632,-26.833,-30.672
271,-3.991,-21.645,-26.833,-30.672
272,-4.006,-21.658,-26.833,-30.672
273,-4.021,-21.671,-26.833,-30.672
274,-4.036,-21.683,-26.833,-30.672
275,-4.051,-21.696,-26.833,-30.672
276,-4.066,-21.709,-26.833,-30.672
277,-4.081,-21.722,-26.833,-30.672
278,-4.097,-21.735,-26.833,-30.672
279,-4.112,-21.748,-26.833,-30.672
280,-4.127,-21.761,-26.833,-30.672
281,-4.142,-21.774,-26.833,-30.672
282,-4.157,-21.786,-26.833,-30.672
283,-4.172,-21.799,-26.833,-30.672
284,-4.187,-21.812,-26.833,-30.672
285,-4.202,-21.825,-26.833,-30.672
286,-4.217,-21.838,-26.833,-30.672
287,-4.232,-21.851,-26.833,-30.672
288,-4.247,-21.864,-26.833,-30.672
289,-4.262,-21.877,-26.833,-30.672
290,-4.277,-21.890,-26.833,-30.672
291,-4.292,-21.902,-26.833,-30.672
292,-4.307,-21.915,-26.833,-30.672
293,-4.323,-21.928,-26.833,-30.672
294,-4.338,-21.941,-26.833,-30.672
295,-4.353,-21.954,-26.833,-30.672
296,-4.368,-21.967,-26.833,-30.672
297,-4.383,-21.980,-26.833,-30.672
298,-4.398,-21.993,-26.833,-30.672
299,-4.413,-22.005,-26.833,-30.672
300,-4.428,-22.018,-26.833,-30.672
