x,y,r
26.000,-10.000,14.000
-24.000,18.000,9.000
4.810,-16.135,3.200
27.807,11.893,2.400
-13.556,12.249,1.800
12.785,-25.046,0.400
-26.550,4.267,0.400
-35.028,-18.963,1.000
-35.185,-18.040,1.000
-35.066,-16.658,1.000
-35.202,-15.530,1.000
-35.391,-13.757,1.000
-34.001,-19.404,1.000
-33.688,-17.775,1.000
-33.909,-16.470,1.000
-34.146,-15.506,1.000
-33.955,-14.012,1.000
-34.019,-12.564,1.000
-32.837,-20.271,1.000
-32.660,-18.959,1.000
-32.605,-18.016,1.000
-32.539,-16.702,1.000
-32.755,-15.254,1.000
-32.779,-14.205,1.000
-32.511,-12.560,1.000
-31.306,-19.102,1.000
-31.136,-17.936,1.000
-31.114,-16.421,1.000
-31.162,-15.065,1.000
-31.311,-13.875,1.000
-31.298,-12.750,1.000
-29.897,-19.295,1.000
-30.177,-17.970,1.000
-29.794,-16.556,1.000
-30.222,-15.539,1.000
-29.930,-13.838,1.000
-29.766,-12.920,1.000
-28.723,-17.840,1.000
-28.576,-16.776,1.000
-28.525,-15.512,1.000
-28.560,-14.231,1.000
16.245,25.844,1.000
17.243,23.380,1.000
17.398,24.456,1.000
17.203,25.984,1.000
17.146,27.200,1.000
17.227,28.363,1.000
18.470,23.521,1.000
18.490,24.437,1.000
18.560,25.911,1.000
18.788,27.351,1.000
18.621,28.486,1.000
19.865,22.126,1.000
20.123,23.269,1.000
19.660,24.388,1.000
19.978,25.949,1.000
19.723,27.173,1.000
19.896,28.397,1.000
20.104,29.678,1.000
21.244,23.305,1.000
21.269,24.368,1.000
21.255,25.862,1.000
21.313,27.193,1.000
21.386,28.505,1.000
21.387,29.566,1.000
22.664,23.447,1.000
22.276,24.623,1.000
22.569,26.003,1.000
22.523,27.174,1.000
22.481,28.435,1.000
23.950,25.672,1.000
30.988,9.853,0.900
31.158,11.129,0.900
31.164,11.989,0.900
30.952,13.166,0.900
31.094,14.157,0.900
31.826,8.924,0.900
31.969,10.081,0.900
31.822,11.057,0.900
31.994,12.065,0.900
32.062,13.106,0.900
32.073,13.977,0.900
32.109,14.867,0.900
33.034,9.146,0.900
33.065,9.858,0.900
32.829,11.005,0.900
32.931,11.859,0.900
32.866,13.066,0.900
33.099,14.112,0.900
33.037,15.008,0.900
33.895,9.044,0.900
33.974,9.854,0.900
34.135,11.108,0.900
34.150,12.026,0.900
33.875,13.164,0.900
33.870,13.844,0.900
33.820,15.100,0.900
33.917,15.926,0.900
34.904,8.144,0.900
34.967,8.985,0.900
34.950,10.073,0.900
35.178,10.863,0.900
35.010,12.105,0.900
35.115,12.854,0.900
34.898,13.975,0.900
34.830,14.974,0.900
34.924,15.830,0.900
35.893,9.138,0.900
35.999,9.991,0.900
35.944,10.959,0.900
36.060,12.140,0.900
36.117,13.121,0.900
36.051,14.020,0.900
35.899,14.961,0.900
36.835,9.827,0.900
36.902,11.003,0.900
36.824,11.961,0.900
37.166,13.005,0.900
36.964,14.124,0.900
37.918,11.988,0.900
-3.200,-37.100,2.000
-0.800,-37.100,2.000
-2.000,-34.800,2.000
-3.300,-34.900,2.000
-0.700,-34.900,2.000
1.355,32.344,0.700
1.468,33.499,0.700
1.569,34.482,0.700
1.635,35.420,0.700
2.427,31.510,0.700
2.374,32.353,0.700
2.332,33.363,0.700
2.541,34.322,0.700
2.371,35.573,0.700
2.611,36.552,0.700
3.564,31.318,0.700
3.519,32.442,0.700
3.453,33.420,0.700
3.341,34.590,0.700
3.560,35.622,0.700
3.592,36.340,0.700
4.445,31.538,0.700
4.568,32.656,0.700
4.546,33.662,0.700
4.392,34.657,0.700
4.668,35.592,0.700
4.459,36.538,0.700
5.352,31.625,0.700
5.487,32.666,0.700
5.660,33.617,0.700
5.302,34.692,0.700
5.619,35.490,0.700
5.504,36.394,0.700
6.315,32.395,0.700
6.331,33.518,0.700
6.677,34.589,0.700
6.679,35.454,0.700
7.418,33.503,0.700
-5.797,-12.292,0.500
-38.749,-8.295,0.500
-11.487,19.470,0.500
-38.471,16.857,0.500
-34.687,-4.746,0.500
-40.156,22.264,0.500
-23.040,39.079,0.500
-34.760,36.432,0.500
40.982,15.411,0.500
-36.371,-27.574,0.500
-28.474,6.742,0.500
18.792,32.261,0.500
23.847,-33.786,0.500
45.546,16.269,0.500
18.407,-22.932,0.700
45.870,11.804,0.700
2.406,42.239,0.700
-36.404,-21.905,0.700
14.889,16.116,0.700
-35.216,3.183,0.700
-41.030,28.562,0.700
-18.352,4.749,0.700
-7.444,-14.942,0.700
-8.579,-36.669,0.700
-39.621,10.513,0.700
-11.995,-27.198,0.700
22.990,-23.889,0.700
-41.721,5.459,0.700
-14.268,-38.544,0.700
-21.416,-12.759,0.700
36.059,20.379,2.000
5.893,-43.379,2.000
4.638,25.947,2.000
10.681,-20.752,2.000
-0.060,-22.357,2.000
47.319,-2.828,2.200
-29.513,36.136,2.200
-7.001,19.377,2.200
-18.231,33.460,2.200
-25.867,-35.638,2.200
-10.158,25.663,2.200
-22.472,-0.463,2.200
-10.638,-45.429,2.200
14.872,38.696,2.200
-10.765,-19.468,2.200
-30.434,29.495,2.200
12.697,-37.509,2.200
-1.507,-16.784,2.200
42.479,-7.038,2.200
8.554,15.881,2.200
-3.489,-28.547,2.200
16.579,-29.768,1.100
-16.566,10.421,1.100
-5.998,-22.373,1.100
23.970,33.983,1.100
-15.189,27.620,1.100
-14.368,39.944,1.100
-21.109,-24.043,1.100
16.251,5.924,1.100
-44.139,10.458,1.100
-33.409,9.545,1.100
-25.734,-26.451,1.100
-13.078,32.497,1.100
31.796,28.176,1.100
40.892,1.050,1.100
15.771,-21.723,0.700
-38.863,-15.034,0.700
24.587,-29.553,0.700
-11.608,11.268,0.700
-25.178,-15.070,0.700
29.700,32.979,0.700
37.979,6.403,0.700
-10.419,38.145,0.700
-2.126,13.799,0.700
39.227,25.670,0.700
4.876,-24.035,0.800
7.151,-38.486,0.800
-0.953,-48.957,0.800
-5.897,35.624,0.800
-14.924,-11.040,0.800
-29.121,-29.055,0.800
-35.318,14.609,0.800
21.368,4.950,0.800
47.552,3.959,0.800
2.504,-40.132,0.800
20.292,9.277,0.800
9.861,30.970,0.800
2.100,18.020,1.200
13.626,23.273,1.200
-32.584,-2.309,1.200
-6.085,-47.469,1.200
-33.984,-30.117,1.200
-17.990,-8.618,1.200
-3.381,-43.784,1.200
-34.580,22.799,1.200
12.753,-30.988,1.200
3.703,-28.278,1.200
-39.852,-0.613,1.200
7.263,-26.619,1.200
-11.559,-8.994,1.200
-2.817,29.337,1.200
-23.238,35.786,1.200
-20.657,-37.095,1.200
-2.404,34.367,1.200
20.245,-36.477,1.200
-17.677,-2.816,1.200
35.732,25.125,1.200
5.179,-33.248,1.200
1.193,-45.194,1.200
34.358,4.809,1.200
