episode,reward,avg50,steps,done_reason,epsilon,loss
1,-780.729,-780.729,3914,collision,0.9930,0.00157
2,-281.882,-531.306,579,collision,0.9860,0.07215
3,-856.880,-639.831,6025,collision,0.9791,0.03249
4,-575.814,-623.826,3440,collision,0.9723,0.05644
5,-427.816,-584.624,1817,collision,0.9655,0.11444
6,-288.679,-535.300,1288,collision,0.9587,0.30007
7,-258.293,-495.728,1035,collision,0.9520,0.28803
8,-122.374,-449.059,374,collision,0.9454,0.26239
9,-238.287,-425.640,4238,collision,0.9387,0.53821
10,-92.692,-392.345,1091,collision,0.9322,0.88670
11,-531.934,-405.035,3715,collision,0.9256,0.75693
12,320.791,-344.549,627,goal,0.9192,0.89493
13,-225.895,-335.422,1351,collision,0.9127,1.67332
14,-327.312,-334.843,3674,collision,0.9063,2.12283
15,348.122,-289.312,645,goal,0.9000,3.93739
16,-125.701,-279.086,3582,collision,0.8937,3.21908
17,-109.164,-269.091,641,collision,0.8874,4.56814
18,10.623,-253.551,1708,collision,0.8812,1.61408
19,355.569,-221.492,760,goal,0.8751,2.23062
20,359.753,-192.430,949,goal,0.8689,4.77962
21,371.441,-165.579,918,goal,0.8628,6.24621
22,344.614,-142.388,1335,goal,0.8568,2.76594
23,237.669,-125.864,627,goal,0.8508,4.72901
24,221.953,-111.372,3184,goal,0.8449,5.08369
25,276.362,-95.862,573,goal,0.8389,2.15370
26,-128.728,-97.126,301,collision,0.8331,4.45424
27,351.786,-80.500,1471,goal,0.8272,5.95863
28,409.519,-62.999,914,goal,0.8214,6.16265
29,302.062,-50.411,528,goal,0.8157,9.62803
30,254.920,-40.233,270,goal,0.8100,1.25156
31,283.834,-29.779,287,goal,0.8043,6.23715
32,-32.043,-29.850,28,collision,0.7987,0.06832
33,239.246,-21.696,440,goal,0.7931,9.03228
34,234.906,-14.149,133,goal,0.7875,0.25805
35,-65.776,-15.624,266,collision,0.7820,12.25432
36,337.602,-5.812,1147,goal,0.7766,13.17498
37,387.656,4.822,856,goal,0.7711,11.54793
38,447.285,16.466,965,goal,0.7657,14.70867
39,434.990,27.197,1558,goal,0.7604,10.31132
40,353.915,35.365,625,goal,0.7550,14.77617
41,390.864,44.036,729,goal,0.7498,11.61650
42,343.818,51.174,501,goal,0.7445,14.45127
43,366.761,58.513,732,goal,0.7393,17.24630
44,389.366,66.032,2153,goal,0.7341,11.14271
45,306.990,71.387,391,goal,0.7290,12.15726
46,472.885,80.115,1074,goal,0.7239,15.36667
47,416.853,87.280,851,goal,0.7188,13.75680
48,422.004,94.253,1431,goal,0.7138,18.55327
49,-89.073,90.512,196,collision,0.7088,16.30614
50,470.965,98.121,930,goal,0.7038,14.37956
51,401.548,121.767,836,goal,0.6989,15.67229
52,482.026,137.045,939,goal,0.6940,17.70365
53,459.800,163.378,843,goal,0.6891,10.93635
54,498.991,184.874,971,goal,0.6843,16.57903
55,441.266,202.256,783,goal,0.6795,15.43421
56,-8.327,207.863,357,collision,0.6748,14.59575
57,525.847,223.546,1063,goal,0.6700,9.81076
58,289.257,231.779,321,goal,0.6654,21.76948
59,456.651,245.677,826,goal,0.6607,17.40961
60,229.643,252.124,268,goal,0.6561,14.11286
61,499.643,272.756,943,goal,0.6515,17.21815
62,443.989,275.219,1053,goal,0.6469,17.75421
63,268.288,285.103,312,goal,0.6424,8.97658
64,385.438,299.358,630,goal,0.6379,19.21883
65,269.043,297.777,385,goal,0.6334,12.58111
66,467.416,309.639,870,goal,0.6290,23.05018
67,337.316,318.569,478,goal,0.6246,23.20278
68,266.961,323.695,234,goal,0.6202,22.11573
69,18.359,316.951,1193,collision,0.6159,20.81686
70,614.973,322.056,1314,goal,0.6116,17.96620
71,367.376,321.974,926,goal,0.6073,19.14892
72,398.669,323.055,701,goal,0.6030,20.70324
73,-326.289,311.776,1343,collision,0.5988,18.37957
74,286.750,313.072,368,goal,0.5946,16.86853
75,-134.455,304.856,1131,collision,0.5905,23.46191
76,182.165,311.074,819,collision,0.5863,20.56530
77,380.230,311.643,620,goal,0.5822,15.71944
78,297.732,309.407,407,goal,0.5782,18.67514
79,627.803,315.922,1533,goal,0.5741,16.06374
80,385.031,318.524,2909,goal,0.5701,17.52272
81,321.923,319.286,818,goal,0.5661,16.58362
82,485.750,329.641,1028,goal,0.5621,13.96951
83,4.477,324.946,406,collision,0.5582,20.67968
84,7.269,320.393,334,collision,0.5543,17.88751
85,528.329,332.275,1206,goal,0.5504,15.90915
86,-23.117,325.061,476,collision,0.5466,15.35583
87,460.912,326.526,871,goal,0.5427,20.06224
88,-304.157,311.497,1252,collision,0.5389,21.88778
