x,y,r
0.000,-36.130,1.000
-1.390,-36.350,1.000
-2.710,-34.980,1.000
-1.410,-35.420,1.000
0.000,-35.200,1.000
-1.380,-32.510,1.000
-2.710,-34.030,1.000
-1.380,-33.520,1.000
-13.470,-36.120,0.600
-2.720,-33.060,1.000
-1.360,-34.480,1.000
0.000,-33.380,1.000
0.000,-32.430,1.000
-34.310,-46.130,0.600
-6.216,-56.017,2.400
-22.645,41.825,2.600
44.078,34.800,0.600
43.470,36.520,0.900
-27.730,-50.660,3.500
55.700,-12.150,0.400
-16.690,-53.070,0.400
-3.960,51.240,0.400
44.760,29.690,0.400
7.470,47.770,2.500
-37.460,-38.920,3.500
30.350,40.110,12.500
30.500,40.500,7.000
-25.380,15.590,12.000
19.470,-46.910,14.000
37.006,36.257,2.400
-34.496,4.102,0.400
-27.296,-11.146,0.400
-35.102,-18.124,1.000
-35.250,-16.641,1.000
-35.258,-15.535,1.000
-34.962,-13.918,1.000
-33.968,-19.194,1.000
-34.136,-17.739,1.000
-34.039,-16.636,1.000
-34.099,-15.275,1.000
-34.132,-14.112,1.000
-34.124,-12.720,1.000
-32.612,-20.271,1.000
-32.766,-18.988,1.000
-32.476,-17.694,1.000
-32.465,-16.679,1.000
-32.830,-15.240,1.000
-32.598,-14.238,1.000
-32.434,-12.630,1.000
-31.311,-20.436,1.000
-31.103,-19.369,1.000
-31.411,-17.678,1.000
-31.198,-16.743,1.000
-31.208,-15.203,1.000
-31.340,-14.129,1.000
-31.270,-12.638,1.000
-29.956,-19.000,1.000
-30.076,-17.966,1.000
-30.241,-16.495,1.000
-29.801,-15.095,1.000
-30.060,-14.201,1.000
-29.783,-12.605,1.000
-28.827,-17.947,1.000
-28.879,-16.805,1.000
-28.570,-15.220,1.000
-28.935,-14.006,1.000
17.175,23.280,1.000
17.164,24.619,1.000
17.387,25.982,1.000
17.390,27.125,1.000
17.300,28.430,1.000
18.752,23.193,1.000
18.545,24.787,1.000
18.413,25.970,1.000
18.742,27.156,1.000
18.553,28.440,1.000
18.754,29.635,1.000
20.136,22.011,1.000
20.087,23.461,1.000
19.803,24.419,1.000
19.756,26.090,1.000
19.656,27.036,1.000
19.798,28.345,1.000
20.081,29.853,1.000
21.214,23.376,1.000
21.268,24.584,1.000
21.157,25.908,1.000
21.412,27.196,1.000
21.428,28.591,1.000
22.281,23.104,1.000
22.254,24.475,1.000
22.558,26.133,1.000
22.725,26.964,1.000
22.488,28.353,1.000
