episode,reward,avg50,steps,done_reason,epsilon,loss
1,-240.619,-240.619,785,collision,0.9930,0.00531
2,-193.266,-216.943,341,collision,0.9860,0.37054
3,-477.157,-303.681,1391,collision,0.9791,0.10273
4,-476.516,-346.890,2025,collision,0.9723,0.07809
5,-294.124,-336.337,976,collision,0.9655,0.13586
6,-179.000,-310.114,301,collision,0.9587,0.21332
7,-332.340,-313.289,999,collision,0.9520,0.29372
8,-95.786,-286.101,360,collision,0.9454,0.53282
9,-200.922,-276.637,6500,timeout,0.9387,0.56437
10,-205.370,-269.510,329,collision,0.9322,0.76604
11,-217.382,-264.771,1422,collision,0.9256,1.31590
12,-106.775,-251.605,129,collision,0.9192,1.09312
13,-226.424,-249.668,1921,collision,0.9127,1.43824
14,-300.101,-253.270,3454,collision,0.9063,1.22346
15,239.763,-220.401,1067,goal,0.9000,1.08970
16,282.354,-188.979,754,goal,0.8937,2.21978
17,-153.325,-186.882,2379,collision,0.8874,2.61161
18,-122.865,-183.325,402,collision,0.8812,0.95266
19,-163.728,-182.294,1248,collision,0.8751,3.38620
20,276.746,-159.342,290,goal,0.8689,2.68143
21,143.932,-144.900,2851,goal,0.8628,4.33765
22,304.064,-124.493,608,goal,0.8568,5.07433
23,261.072,-107.729,916,goal,0.8508,5.33775
24,-30.191,-104.498,682,collision,0.8449,7.66782
25,371.239,-85.469,907,goal,0.8389,8.93323
26,-180.215,-89.113,1482,collision,0.8331,8.04795
27,266.682,-75.935,363,goal,0.8272,2.15063
28,-79.448,-76.061,651,collision,0.8214,7.67875
29,180.152,-67.226,586,goal,0.8157,5.14158
30,381.236,-52.277,707,goal,0.8100,8.01987
31,-29.131,-51.530,533,collision,0.8043,14.80970
32,430.648,-36.462,1156,goal,0.7987,12.43646
33,234.827,-28.241,125,goal,0.7931,4.65059
34,-145.213,-31.682,694,collision,0.7875,16.21043
35,358.969,-20.520,561,goal,0.7820,11.81285
36,-159.004,-24.367,174,collision,0.7766,7.09686
37,360.864,-13.955,835,goal,0.7711,11.51194
38,361.776,-4.068,1310,goal,0.7657,11.19864
39,-120.973,-7.065,402,collision,0.7604,12.85356
40,-339.544,-15.377,548,collision,0.7550,11.13393
41,401.021,-5.221,710,goal,0.7498,12.81089
42,-84.911,-7.119,272,collision,0.7445,7.77758
43,449.317,3.496,1035,goal,0.7393,14.78092
44,503.238,14.854,1101,goal,0.7341,13.39897
45,478.402,25.155,1006,goal,0.7290,14.71240
46,331.675,31.818,486,goal,0.7239,13.73675
47,402.986,39.716,1006,goal,0.7188,18.36251
48,-40.674,38.041,1038,goal,0.7138,15.81263
49,455.813,46.567,1185,goal,0.7088,12.75110
50,356.608,52.768,597,goal,0.7038,17.34245
51,280.462,63.189,749,goal,0.6989,8.09224
52,509.129,77.237,1034,goal,0.6940,16.16899
53,-528.832,76.204,6500,timeout,0.6891,13.97239
54,-594.194,73.850,6500,timeout,0.6843,13.79875
55,252.935,84.791,182,goal,0.6795,20.80388
56,365.818,95.688,593,goal,0.6748,10.26014
57,-212.003,98.094,6500,timeout,0.6700,11.48315
58,277.409,105.558,327,goal,0.6654,5.66822
59,572.886,121.034,1261,goal,0.6607,12.93576
60,474.998,134.642,1095,goal,0.6561,9.99125
61,-852.254,121.944,4822,collision,0.6515,12.74140
62,-381.633,116.447,5536,collision,0.6469,10.58293
63,515.130,131.278,2388,goal,0.6424,9.05971
64,280.021,142.881,1142,goal,0.6379,6.96113
65,323.482,144.555,3506,goal,0.6334,11.02218
66,86.052,140.629,1359,rollover,0.6290,8.00954
67,225.616,148.208,5111,goal,0.6246,8.21402
68,494.328,160.552,1117,goal,0.6202,8.34867
69,263.653,169.099,988,collision,0.6159,10.14621
70,629.619,176.157,1418,goal,0.6116,10.29268
71,337.883,180.036,563,goal,0.6073,11.06790
72,120.277,176.360,760,collision,0.6030,12.13812
73,120.484,173.548,3553,goal,0.5988,8.86249
74,352.867,181.210,487,goal,0.5946,7.42499
75,170.665,177.198,789,collision,0.5905,9.98436
76,483.809,190.479,1031,goal,0.5863,13.10330
77,200.703,189.159,2440,goal,0.5822,8.95291
78,301.038,196.769,372,goal,0.5782,11.60565
79,375.162,200.669,799,goal,0.5741,11.60026
80,9.838,193.241,217,collision,0.5701,6.51401
81,267.311,199.170,399,goal,0.5661,9.06058
82,560.361,201.764,1645,goal,0.5621,12.97531
83,99.741,199.062,754,collision,0.5582,13.92256
84,202.406,206.015,1012,collision,0.5543,15.53593
85,-659.228,185.651,3610,collision,0.5504,11.58588
86,483.788,198.507,1730,goal,0.5466,13.54135
87,691.981,205.129,2261,goal,0.5427,14.05486
88,597.867,209.851,1489,goal,0.5389,17.57277
89,472.701,221.724,996,goal,0.5352,17.73330
90,729.444,243.104,1944,goal,0.5314,12.32552
91,666.948,248.422,2142,goal,0.5277,11.12314
92,240.863,254.938,253,goal,0.5240,15.46405
93,735.342,260.658,1948,goal,0.5203,12.01509
94,-130.907,247.976,5581,collision,0.5167,13.11171
95,627.799,250.964,2013,goal,0.5131,12.61812
96,-235.458,239.621,3092,collision,0.5095,10.26343
97,-117.722,229.207,571,collision,0.5059,12.95470
98,168.585,233.392,3584,collision,0.5024,9.56241
99,338.361,231.043,563,goal,0.4989,12.46587
100,-312.644,217.658,6500,timeout,0.4954,11.24764
101,-20.176,211.645,291,collision,0.4919,12.23933
102,88.647,203.235,358,collision,0.4885,5.16145
103,273.532,219.283,1459,collision,0.4850,11.37042
104,-25.153,230.663,322,collision,0.4816,6.51743
105,34.228,226.289,628,collision,0.4783,9.66040
106,151.839,222.010,829,collision,0.4749,7.10627
107,302.068,232.291,400,goal,0.4716,7.18675
108,-342.828,219.886,6500,timeout,0.4683,9.31419
109,48.702,209.403,575,collision,0.4650,9.22579
110,-58.113,198.741,1261,collision,0.4618,8.35341
111,533.525,226.456,1243,goal,0.4585,7.78244
112,151.183,237.112,825,collision,0.4553,7.40592
113,95.705,228.724,528,collision,0.4521,10.09711
